Date,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15
19930206,91.04224,-68.33228,45.78978,-29.48893,-2.097702,0.671268,-7.627809,10.38317,6.977388,3.65532,15.66766,-1.81443,-3.33209,-23.45413,-5.961934
19930207,90.1496,-66.92837,45.50786,-35.23068,5.37416,-5.872661,-4.835887,5.98942,10.56901,3.946062,18.89973,2.306747,-4.019814,-17.05965,-3.49761
19930208,95.58522,-65.46596,35.14239,-25.62047,11.17277,-6.391887,-2.323099,4.436271,8.875033,8.595476,23.48198,4.940557,-3.668505,-18.37852,-3.087946
19930209,93.7387,-67.43445,18.99919,-13.1373,7.881314,-2.519264,1.651892,8.022552,5.961893,10.85479,27.88246,3.653187,-2.803327,-19.94257,0.4270902
19930210,92.31739,-73.44635,11.89085,-8.843238,5.254367,-0.01314496,-1.912269,12.24288,4.298947,8.131496,26.71345,-1.758354,-5.532326,-19.28038,2.799053
19930211,92.35658,-70.20848,10.74745,-10.87346,3.580536,1.318176,-2.537171,11.8473,2.91863,5.873026,22.78273,-5.192591,-5.10286,-17.10262,4.35348
19930212,94.38966,-71.53413,16.40521,-9.087898,0.6292555,-2.081771,-5.082348,12.92918,-0.8624882,6.398927,16.44066,-2.959698,-4.701286,-16.61417,2.021554
19930213,90.40442,-69.34222,20.19948,-5.621239,-4.538648,-3.267513,-3.178001,11.61113,0.3578578,6.469817,10.50828,-1.606366,-4.86659,-17.2436,1.364023
19930214,90.52134,-65.49809,28.67014,-8.778011,-4.310492,-2.010242,-0.4235832,10.37498,7.36907,3.695244,7.518731,-7.995803,-6.327182,-15.49092,2.165786
19930215,89.12779,-58.92385,29.94388,-10.37035,1.500098,1.959139,4.779897,11.31102,12.6254,2.025606,9.60238,-10.75436,-4.616484,-8.70118,0.9023001
19930216,86.53558,-57.81778,24.61793,-7.200282,6.553432,-1.192354,10.7573,11.82279,10.68738,-2.248882,12.8158,-7.081766,-1.429246,1.073275,-1.206085
19930217,82.43458,-63.09341,22.45039,1.904295,2.646743,0.7954482,11.60188,14.30349,9.192747,-1.008901,13.83959,-1.386402,-3.864139,5.688257,-2.808107
19930218,70.35139,-60.95804,19.22027,4.920518,0.5805506,4.504095,10.04786,16.2137,3.193616,2.154042,12.05942,3.543699,-6.572807,3.859009,-1.542658
19930219,62.1618,-53.21091,8.919618,-3.213754,0.4066948,7.479567,8.463909,12.26294,4.938907,4.602955,13.49993,4.723273,-3.537747,3.923774,1.689646
19930220,56.69607,-44.97502,5.433805,-10.311,4.894328,7.950815,5.78202,15.95359,9.071929,5.248846,17.59467,5.523458,-2.488631,9.22304,3.744035
19930221,49.61388,-41.80499,4.243672,-9.207859,11.70503,4.966393,0.4002823,16.39497,14.75034,-0.2656104,15.99031,5.766047,-8.072494,7.08547,3.769629
19930222,51.50741,-43.8081,7.71834,-6.129079,14.70577,5.987699,0.5273272,9.971795,13.17676,-4.591435,13.21264,5.471739,-13.47194,2.251786,2.384958
19930223,69.58586,-50.81733,14.27962,-1.846899,12.65761,7.343269,4.036506,6.6382,9.072034,-1.730572,8.825852,12.46587,-12.61657,-2.075781,-1.372708
19930224,92.85128,-67.37144,19.44038,1.388907,12.37869,8.128132,5.509158,6.792936,14.2343,0.2659497,11.12621,8.563701,-10.08871,2.052829,-3.351962
19930225,95.30429,-75.35585,10.10395,4.770345,14.03913,9.229463,2.998688,5.287041,18.43071,0.1891794,12.04012,5.572534,-10.18343,7.892718,-2.395528
19930226,89.26242,-77.964,8.186505,-0.7421307,15.64513,7.623279,-0.6493457,8.68726,21.45727,-1.447609,8.93454,6.471455,-11.55027,6.869571,-3.264217
19930227,77.59852,-66.72858,5.812501,-4.193391,20.49469,4.191439,-1.102828,7.376867,24.19879,-2.057311,11.38344,8.428334,-15.62834,3.868134,-2.129956
19930228,71.46731,-65.2785,6.197945,4.003326,22.79329,-2.57816,-4.366414,2.654953,23.82451,-4.895029,10.55347,8.027049,-15.64094,0.6069879,-2.187025
19930301,71.98318,-69.95634,9.442985,6.889694,14.35734,1.398633,-0.9764249,2.872019,23.01696,-8.496291,6.715734,-0.6023271,-8.683358,-3.979415,-3.652338
19930302,79.34951,-71.15147,2.202293,4.174249,10.15453,7.476198,2.766613,4.477108,21.13573,-7.594838,4.751125,-11.77166,-5.499761,-11.01454,-4.884976
19930303,78.22195,-70.94212,-1.55239,1.968891,4.41722,7.105988,0.1162488,13.67418,23.01554,-0.1165216,5.264697,-8.203646,-11.37378,-11.84122,-5.754789
19930304,78.42814,-74.91561,-3.713473,1.396424,1.527973,6.890054,-0.5723852,18.53922,19.86216,8.076447,3.736472,-3.607233,-14.31643,-10.09293,-4.324838
19930305,74.58779,-77.54118,-2.183712,2.205773,-2.54354,4.284154,1.849165,21.9733,22.43151,10.9821,2.471833,0.6276273,-12.73609,-4.788457,-6.021424
19930306,68.8603,-69.96439,0.5420341,1.723815,-2.311464,4.041591,4.847332,21.39843,28.87916,9.181135,3.830637,-0.4063341,-10.31641,-3.647614,-6.929571
19930307,71.13071,-62.85784,-10.05049,-5.696665,-0.06931684,11.56516,-2.46361,15.77454,28.4338,0.5498328,6.538017,0.8161242,-9.032811,-4.092545,-10.76229
19930308,82.86172,-67.0144,-18.00255,-16.20314,4.917846,3.774685,-6.070353,8.878226,18.96812,-3.520947,5.157442,5.751928,-6.159266,-0.002975734,-9.729038
19930309,85.69541,-66.48808,-10.9691,-14.38559,13.84767,4.776455,-3.746479,10.1348,19.9798,2.897806,14.19707,9.59435,-9.096854,-6.578633,-7.344469
19930310,88.82149,-65.06688,4.043835,-12.37813,17.0195,5.594229,-5.777757,16.27225,19.80086,2.790532,18.15803,14.73146,-10.19989,-7.802721,-7.890292
19930311,92.209,-64.27251,10.87569,-15.46002,12.2084,4.649546,-9.375133,23.0964,20.12158,-1.349372,19.23216,11.89314,-10.81459,-4.326862,-8.101222
19930312,92.47986,-70.51016,13.94367,-17.6222,5.706825,1.070211,-10.13234,23.98359,19.78831,-5.901887,19.83189,10.79951,-11.71061,-3.422112,-7.410155
19930313,95.4761,-78.0174,19.70907,-21.95016,3.404359,-0.7516761,-12.54553,21.42022,25.68214,-3.794697,18.10791,8.5939,-11.07174,-0.02809476,-7.396156
19930314,96.29364,-77.69228,23.09361,-24.01978,2.079533,-1.993986,-13.23361,20.59998,29.51807,-0.1675764,22.8854,8.991254,-8.231219,0.8013719,-2.40645
19930315,91.51287,-65.64347,20.62589,-21.96,4.94629,-2.530364,-17.4083,19.66937,28.32856,-4.023061,24.16837,10.20581,-10.21817,1.463622,2.130063
19930316,81.68408,-50.22948,10.2766,-12.49659,8.954432,-5.337099,-12.09567,13.97515,29.38321,-10.3992,18.47979,8.879584,-5.757302,-1.407997,3.332663
19930317,82.61499,-37.20431,-3.113833,-5.799424,16.40006,-7.75463,-4.47963,7.552631,24.04698,-9.978069,14.82164,3.348923,-6.030539,-7.803605,3.396554
19930318,88.72582,-35.46041,-10.69764,-2.915586,20.90337,-6.783664,0.889266,2.181971,23.23329,-8.774752,8.78624,0.2801359,-6.503575,-12.14704,0.8680763
