Date,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15
19930203,-13.12207,2.415104,0.8647217,-0.0481782,-4.194664,1.269562,0.921348,-4.603794,4.391933,0.01629019,-0.2857302,-0.6871599,-0.9936944,-4.996911,-0.6531081
19930204,-13.2595,2.449251,0.8986941,-0.01865446,-4.325101,1.165473,0.9627974,-4.748498,4.343287,-0.1834696,-0.3503268,-0.6043039,-0.9659786,-4.821867,-0.6655107
19930205,-13.44535,2.464608,0.8969248,0.06054983,-4.421192,1.073817,1.015735,-4.918778,4.274646,-0.3149191,-0.4368047,-0.5143583,-0.9631837,-4.529001,-0.6701738
19930206,-13.64121,2.442298,0.8829469,0.1331304,-4.531878,0.9808273,1.095404,-5.11438,4.210118,-0.4503842,-0.5313509,-0.4339894,-0.9756004,-4.260418,-0.6701661
19930207,-13.85322,2.404435,0.8604093,0.188928,-4.582294,0.8770859,1.183639,-5.29362,4.16938,-0.5787089,-0.6773725,-0.3395824,-0.9667188,-3.956472,-0.6795602
19930208,-14.04799,2.31672,0.8362705,0.2433558,-4.60403,0.7948366,1.288271,-5.435083,4.114732,-0.686403,-0.8661944,-0.2633448,-0.9466358,-3.64573,-0.7212513
19930209,-14.24629,2.248352,0.8196653,0.3172637,-4.645246,0.7380329,1.391811,-5.564366,4.057847,-0.8092117,-1.062274,-0.1696776,-0.9407409,-3.288527,-0.7554399
19930210,-14.44163,2.158011,0.8062855,0.4297537,-4.658554,0.685771,1.516319,-5.683644,3.975287,-0.9285625,-1.300512,-0.1232313,-0.921258,-2.992184,-0.7972319
19930211,-14.63601,2.075032,0.7881905,0.5282495,-4.663506,0.6566042,1.646258,-5.777804,3.919482,-1.042664,-1.523374,-0.0677329,-0.9233232,-2.770143,-0.8458317
19930212,-14.845,1.987623,0.8268262,0.6293892,-4.671647,0.7080874,1.794437,-5.905623,3.875833,-1.129769,-1.668482,0.009176891,-0.9164639,-2.528974,-0.8804814
19930213,-15.05712,1.912239,0.8959662,0.7460841,-4.733243,0.7579083,1.937546,-6.029614,3.812692,-1.21749,-1.793753,0.04070662,-0.914278,-2.35291,-0.9123806
19930214,-15.2839,1.851368,0.9751962,0.8472405,-4.750841,0.7894661,2.074586,-6.112194,3.705927,-1.23869,-1.86211,0.02066652,-0.9148038,-2.256333,-0.9916767
19930215,-15.48713,1.842564,1.056225,0.9743778,-4.785271,0.8289741,2.203582,-6.220218,3.606425,-1.28856,-1.899827,-0.000125338,-0.8994926,-2.156586,-1.016657
19930216,-15.67562,1.834007,1.163614,1.096679,-4.818621,0.8474202,2.30841,-6.348414,3.5159,-1.285103,-1.916743,-0.03963145,-0.8828563,-2.03308,-1.06244
19930217,-15.81744,1.849115,1.296139,1.217938,-4.841864,0.852561,2.382331,-6.467542,3.442302,-1.249055,-1.909292,-0.08075093,-0.8704834,-1.935744,-1.102332
19930218,-15.93436,1.869643,1.437515,1.326191,-4.839498,0.8530063,2.453327,-6.563752,3.365028,-1.202916,-1.867926,-0.1407359,-0.8610222,-1.851368,-1.145933
19930219,-16.0468,1.921553,1.569525,1.427254,-4.869636,0.8531088,2.486046,-6.625546,3.301319,-1.150016,-1.812162,-0.1641919,-0.846679,-1.773984,-1.163903
19930220,-16.1055,1.940791,1.66037,1.512264,-4.862733,0.8231475,2.49346,-6.685129,3.225626,-1.104729,-1.748711,-0.2093988,-0.8641158,-1.756626,-1.200435
19930221,-16.087,1.944237,1.720879,1.576203,-4.835142,0.7818078,2.477568,-6.62987,3.154031,-1.020604,-1.787202,-0.251094,-0.8413991,-1.70476,-1.24836
19930222,-16.03412,1.962408,1.787453,1.626709,-4.853784,0.6872303,2.466352,-6.559624,3.127681,-0.9569113,-1.847476,-0.3054111,-0.8328142,-1.738382,-1.261142
19930223,-15.96063,1.977901,1.797984,1.632375,-4.828798,0.5633149,2.467026,-6.470474,3.085374,-0.8408121,-1.917613,-0.3950695,-0.8242804,-1.76939,-1.28386
19930224,-15.84871,1.991969,1.775424,1.652352,-4.810052,0.4201263,2.441849,-6.330971,3.04404,-0.7182634,-2.008307,-0.4786441,-0.8419014,-1.833227,-1.30763
19930225,-15.71329,1.961972,1.738221,1.647189,-4.769484,0.2636381,2.428591,-6.165939,2.993022,-0.6034798,-2.141398,-0.5895333,-0.8589708,-1.931647,-1.332077
19930226,-15.589,1.913795,1.664184,1.632228,-4.707238,0.1076817,2.434295,-6.002348,2.952729,-0.4996512,-2.291613,-0.7068308,-0.8578124,-2.045569,-1.347146
19930227,-15.46937,1.872876,1.575671,1.593997,-4.637672,-0.07832733,2.414905,-5.843041,2.973624,-0.3763265,-2.454349,-0.8241382,-0.8327869,-2.188257,-1.339898
19930228,-15.32989,1.766485,1.447643,1.556767,-4.571663,-0.2361202,2.375684,-5.681256,2.993949,-0.2269608,-2.652293,-0.8914252,-0.776974,-2.310897,-1.345594
19930301,-15.22371,1.600111,1.304993,1.499921,-4.466304,-0.3860448,2.372856,-5.562633,3.02539,-0.06279808,-2.821587,-0.9293261,-0.7028478,-2.404654,-1.382082
19930302,-15.1391,1.421073,1.140303,1.468177,-4.360747,-0.5190561,2.395609,-5.457016,3.024958,0.1140808,-2.97874,-1.017637,-0.6197169,-2.436593,-1.40792
19930303,-15.09176,1.220873,0.9732715,1.435173,-4.235507,-0.6121286,2.430419,-5.374913,3.007815,0.2964157,-3.100075,-1.075841,-0.5215884,-2.417556,-1.446804
19930304,-15.02621,0.9848802,0.7729598,1.387405,-4.100331,-0.6329477,2.485131,-5.329193,2.981025,0.5116355,-3.173027,-1.128333,-0.4385497,-2.352658,-1.485302
19930305,-14.96842,0.7434229,0.5901787,1.354543,-4.024106,-0.6358619,2.561001,-5.323936,2.950482,0.7103465,-3.210478,-1.161961,-0.3447881,-2.274256,-1.469206
